occupation_code	occupation_name	display_level	selectable	sort_sequence
291125	Recreational Therapists	3	T	417	
291126	Respiratory Therapists	3	T	418	
291127	Speech-Language Pathologists	3	T	419	
291128	Exercise Physiologists	3	T	420	
291129	Therapists, All Other	3	T	421	
291131	Veterinarians	3	T	422	
291141	Registered Nurses	3	T	423	
291151	Nurse Anesthetists	3	T	424	
291161	Nurse Midwives	3	T	425	
291171	Nurse Practitioners	3	T	426	
291181	Audiologists	3	T	427	
291199	Health Diagnosing and Treating Practitioners, All Other	3	T	428	
292000	Health Technologists and Technicians	1	T	429	
292010	Clinical Laboratory Technologists and Technicians	2	T	430	
292021	Dental Hygienists	3	T	431	
292030	Diagnostic Related Technologists and Technicians	2	T	432	
292031	Cardiovascular Technologists and Technicians	3	T	433	
292032	Diagnostic Medical Sonographers	3	T	434	
292033	Nuclear Medicine Technologists	3	T	435	
292034	Radiologic Technologists	3	T	436	
292035	Magnetic Resonance Imaging Technologists	3	T	437	
292041	Emergency Medical Technicians and Paramedics	3	T	438	
292050	Health Practitioner Support Technologists and Technicians	2	T	439	
292051	Dietetic Technicians	3	T	440	
292052	Pharmacy Technicians	3	T	441	
292053	Psychiatric Technicians	3	T	442	
292054	Respiratory Therapy Technicians	3	T	443	
292055	Surgical Technologists	3	T	444	
292056	Veterinary Technologists and Technicians	3	T	445	
292057	Ophthalmic Medical Technicians	3	T	446	
292061	Licensed Practical and Licensed Vocational Nurses	3	T	447	
292071	Medical Records and Health Information Technicians	3	T	448	
292081	Opticians, Dispensing	3	T	449	
292090	Miscellaneous Health Technologists and Technicians	2	T	450	
292091	Orthotists and Prosthetists	3	T	451	
292092	Hearing Aid Specialists	3	T	452	
292099	Health Technologists and Technicians, All Other	3	T	453	
299000	Other Healthcare Practitioners and Technical Occupations	1	T	454	
299010	Occupational Health and Safety Specialists and Technicians	2	T	455	
299011	Occupational Health and Safety Specialists	3	T	456	
299012	Occupational Health and Safety Technicians	3	T	457	
299090	Miscellaneous Health Practitioners and Technical Workers	2	T	458	
299091	Athletic Trainers	3	T	459	
299092	Genetic Counselors	3	T	460	
299099	Healthcare Practitioners and Technical Workers, All Other	3	T	461	
310000	Healthcare Support Occupations	0	T	462	
311010	Nursing, Psychiatric, and Home Health Aides	2	T	463	
311011	Home Health Aides	3	T	464	
311013	Psychiatric Aides	3	T	465	
311014	Nursing Assistants	3	T	466	
311015	Orderlies	3	T	467	
312000	Occupational Therapy and Physical Therapist Assistants and Aides	1	T	468	
312010	Occupational Therapy Assistants and Aides	2	T	469	
312011	Occupational Therapy Assistants	3	T	470	
312012	Occupational Therapy Aides	3	T	471	
312020	Physical Therapist Assistants and Aides	2	T	472	
312021	Physical Therapist Assistants	3	T	473	
312022	Physical Therapist Aides	3	T	474	
319000	Other Healthcare Support Occupations	1	T	475	
319011	Massage Therapists	3	T	476	
319090	Miscellaneous Healthcare Support Occupations	2	T	477	
319091	Dental Assistants	3	T	478	
319092	Medical Assistants	3	T	479	
319093	Medical Equipment Preparers	3	T	480	
319094	Medical Transcriptionists	3	T	481	
319095	Pharmacy Aides	3	T	482	
319096	Veterinary Assistants and Laboratory Animal Caretakers	3	T	483	
319097	Phlebotomists	3	T	484	
319099	Healthcare Support Workers, All Other	3	T	485	
330000	Protective Service Occupations	0	T	486	
331000	Supervisors of Protective Service Workers	1	T	487	
331010	First-Line Supervisors of Law Enforcement Workers	2	T	488	
331011	First-Line Supervisors of Correctional Officers	3	T	489	
331012	First-Line Supervisors of Police and Detectives	3	T	490	
331021	First-Line Supervisors of Fire Fighting and Prevention Workers	3	T	491	
331099	First-Line Supervisors of Protective Service Workers, All Other	3	T	492	
332000	Fire Fighting and Prevention Workers	1	T	493	
332011	Firefighters	3	T	494	
332020	Fire Inspectors	2	T	495	
332021	Fire Inspectors and Investigators	3	T	496	
332022	Forest Fire Inspectors and Prevention Specialists	3	T	497	
333000	Law Enforcement Workers	1	T	498	
333010	Bailiffs, Correctional Officers, and Jailers	2	T	499	
333011	Bailiffs	3	T	500	
333012	Correctional Officers and Jailers	3	T	501	
333021	Detectives and Criminal Investigators	3	T	502	
333031	Fish and Game Wardens	3	T	503	
333041	Parking Enforcement Workers	3	T	504	
333050	Police Officers	2	T	505	
333051	Police and Sheriff's Patrol Officers	3	T	506	
333052	Transit and Railroad Police	3	T	507	
339000	Other Protective Service Workers	1	T	508	
339011	Animal Control Workers	3	T	509	
339021	Private Detectives and Investigators	3	T	510	
339030	Security Guards and Gaming Surveillance Officers	2	T	511	
339031	Gaming Surveillance Officers and Gaming Investigators	3	T	512	
339032	Security Guards	3	T	513	
339090	Miscellaneous Protective Service Workers	2	T	514	
339091	Crossing Guards	3	T	515	
339092	Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers	3	T	516	
339093	Transportation Security Screeners	3	T	517	
339099	Protective Service Workers, All Other	3	T	518	
350000	Food Preparation and Serving Related Occupations	0	T	519	
351010	Supervisors of Food Preparation and Serving Workers	2	T	520	
351011	Chefs and Head Cooks	3	T	521	
351012	First-Line Supervisors of Food Preparation and Serving Workers	3	T	522	
352000	Cooks and Food Preparation Workers	1	T	523	
352010	Cooks	2	T	524	
352011	Cooks, Fast Food	3	T	525	
352012	Cooks, Institution and Cafeteria	3	T	526	
352013	Cooks, Private Household	3	T	527	
352014	Cooks, Restaurant	3	T	528	
352015	Cooks, Short Order	3	T	529	
352019	Cooks, All Other	3	T	530	
352021	Food Preparation Workers	3	T	531	
353000	Food and Beverage Serving Workers	1	T	532	
353011	Bartenders	3	T	533	
353020	Fast Food and Counter Workers	2	T	534	
353021	Combined Food Preparation and Serving Workers, Including Fast Food	3	T	535	
353022	Counter Attendants, Cafeteria, Food Concession, and Coffee Shop	3	T	536	
353031	Waiters and Waitresses	3	T	537	
353041	Food Servers, Nonrestaurant	3	T	538	
359000	Other Food Preparation and Serving Related Workers	1	T	539	
359011	Dining Room and Cafeteria Attendants and Bartender Helpers	3	T	540	
359021	Dishwashers	3	T	541	
359031	Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop	3	T	542	
359099	Food Preparation and Serving Related Workers, All Other	3	T	543	
370000	Building and Grounds Cleaning and Maintenance Occupations	0	T	544	
371010	First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers	2	T	545	
371011	First-Line Supervisors of Housekeeping and Janitorial Workers	3	T	546	
371012	First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers	3	T	547	
372000	Building Cleaning and Pest Control Workers	1	T	548	
372010	Building Cleaning Workers	2	T	549	
372011	Janitors and Cleaners, Except Maids and Housekeeping Cleaners	3	T	550	
372012	Maids and Housekeeping Cleaners	3	T	551	
372019	Building Cleaning Workers, All Other	3	T	552	
372021	Pest Control Workers	3	T	553	
373010	Grounds Maintenance Workers	2	T	554	
373011	Landscaping and Groundskeeping Workers	3	T	555	
373012	Pesticide Handlers, Sprayers, and Applicators, Vegetation	3	T	556	
373013	Tree Trimmers and Pruners	3	T	557	
373019	Grounds Maintenance Workers, All Other	3	T	558	
390000	Personal Care and Service Occupations	0	T	559	
391000	Supervisors of Personal Care and Service Workers	1	T	560	
391010	First-Line Supervisors of Gaming Workers	2	T	561	
391021	First-Line Supervisors of Personal Service Workers	3	T	562	
392000	Animal Care and Service Workers	1	T	563	
392011	Animal Trainers	3	T	564	
392021	Nonfarm Animal Caretakers	3	T	565	
393000	Entertainment Attendants and Related Workers	1	T	566	
393010	Gaming Services Workers	2	T	567	
393011	Gaming Dealers	3	T	568	
393012	Gaming and Sports Book Writers and Runners	3	T	569	
393019	Gaming Service Workers, All Other	3	T	570	
393021	Motion Picture Projectionists	3	T	571	
393031	Ushers, Lobby Attendants, and Ticket Takers	3	T	572	
393090	Miscellaneous Entertainment Attendants and Related Workers	2	T	573	
393091	Amusement and Recreation Attendants	3	T	574	
393092	Costume Attendants	3	T	575	
393093	Locker Room, Coatroom, and Dressing Room Attendants	3	T	576	
393099	Entertainment Attendants and Related Workers, All Other	3	T	577	
394000	Funeral Service Workers	1	T	578	
394011	Embalmers	3	T	579	
394021	Funeral Attendants	3	T	580	
394031	Morticians, Undertakers, and Funeral Directors	3	T	581	
