zip,cbsa
43944,48260
43988,99999
43610,45780
43569,45780
44405,49660
44406,49660
44444,49660
44446,49660
44483,49660
44305,10420
44436,49660
44450,49660
44437,49660
44423,41400
44308,10420
44286,10420
44491,49660
44427,15940
42450,99999
42261,14540
42262,17300
42461,21780
42567,43700
42265,99999
42223,17300
42266,17300
42352,36980
42368,36980
42378,36980
42170,99999
42274,14540
42516,99999
42355,36980
42372,36980
42408,99999
42304,36980
44216,10420
44236,10420
44136,17460
44138,17460
44143,17460
44140,17460
44230,49300
44110,17460
44118,17460
44108,17460
44060,17460
44067,10420
44085,11780
44087,10420
44090,17460
44024,17460
44026,17460
44039,17460
44022,17460
44044,17460
44092,17460
44028,17460
44102,17460
44050,17460
43452,38840
43465,45780
43502,45780
47710,21780
43410,23380
43416,38840
43528,45780
43469,45780
43516,45780
43517,99999
43451,45780
43526,19580
47665,99999
47633,21780
44904,31900
45804,30620
44883,45660
44824,41780
44846,41780
44857,41780
45806,30620
44807,35940
45833,30620
44903,18140
43076,18140
43044,46500
43055,18140
43125,18140
43061,18140
43119,18140
43071,18140
45248,17140
45249,17140
45215,17140
45230,17140
45320,99999
45323,44220
45250,17140
45218,17140
44676,49300
44707,15940
44708,15940
44618,49300
44662,15940
44702,15940
44648,15940
44676,99999
44611,99999
44624,35420
44634,15940
44637,99999
44709,15940
44620,15940
44656,35420
44695,15940
44720,10420
45056,17140
45102,17140
45177,48940
43780,99999
43821,18740
45002,17140
43344,18140
43351,99999
45015,17140
43359,99999
45036,17140
43310,99999
43749,15740
43830,18140
45003,99999
43754,99999
43802,49780
43824,18740
43324,13340
43772,15740
43332,32020
43804,18740
43844,18740
43804,99999
43746,18140
43788,99999
43221,18140
43201,18140
43209,18140
43205,18140
43232,18140
43140,18140
43146,18140
43230,18140
43150,18140
41035,99999
41041,99999
41042,17140
41049,99999
41073,17140
41086,17140
45885,47540
45895,47540
41014,17140
41083,99999
41098,99999
45881,22300
45651,99999
45432,19380
45503,44220
45506,44220
45601,17060
45694,39020
45695,99999
45696,26580
45680,26580
45679,99999
45692,27160
45686,38580
45697,17140
45723,99999
46057,23140
46118,26900
46135,26900
46150,99999
46120,14020
46115,99999
46068,99999
46755,28340
46733,19540
46741,23060
46748,23060
46601,43780
46802,23060
46797,23060
46781,23060
46765,23060
46773,23060
45344,44220
45415,19380
45382,99999
46507,21140
46383,16980
46405,16980
46546,43780
46406,16980
46384,16980
46501,38500
46515,21140
46540,99999
46411,16980
46322,16980
46239,26900
46254,26900
46366,99999
46227,26900
46181,26900
46205,26900
46218,26900
46234,26900
45769,99999
47040,17140
45729,31930
45767,99999
47010,99999
47060,99999
47303,34620
47304,34620
47227,35860
47243,31500
47308,34620
47340,99999
47338,34620
47341,39980
47274,18020
47272,24700
47272,26900
47991,99999
48017,19820
47842,45460
47932,99999
47859,99999
47862,99999
48027,19820
48003,19820
47834,99999
47954,18820
48235,19820
48212,19820
48226,19820
48237,19820
48239,19820
48206,19820
48223,19820
48309,19820
48244,19820
48303,19820
46901,29020
46902,29020
46815,23060
46899,23060
46814,23060
46989,31980
46970,37940
46917,29200
46960,99999
46938,31980
48166,33780
48168,19820
48159,33780
48157,33780
48118,11460
48126,19820
48114,19820
48122,19820
48098,19820
48101,19820
48123,19820
48153,19820
48137,11460
48107,11460
48145,33780
48073,19820
48040,19820
48042,19820
48065,19820
48043,19820
48050,19820
47460,14020
47546,27540
47401,14020
47448,26900
47471,99999
47524,47180
47579,99999
47532,99999
47438,45460
47528,47180
47448,18020
47590,27540
47529,47780
47537,21780
47578,99999
47457,99999
47537,99999
48445,99999
48468,99999
48708,13020
48809,26960
48866,37020
48848,37020
48763,99999
48767,99999
48707,13020
48851,26960
48824,29620
48765,99999
48728,99999
49643,45900
49655,99999
49665,15620
49601,15620
49617,45900
49629,99999
49690,45900
49642,99999
49664,45900
48336,19820
48343,19820
48353,19820
48371,19820
48359,19820
48363,19820
49431,31220
49441,34740
49442,34740
49445,34740
49423,24340
49444,34740
49457,34740
49405,31220
49420,99999
49449,31220
49452,99999
49504,24340
49348,26090
49093,43780
49117,35660
49055,28020
49338,13660
49099,43780
49111,43780
49090,26090
49067,28020
49009,28020
49012,28020
49014,12980
48893,34380
49037,12980
49042,44780
49045,28020
48876,29620
49034,28020
48629,99999
48640,33220
49202,27100
49253,10300
49274,25880
48601,40980
49250,25880
48653,99999
49285,29620
48623,40980
49220,10300
49277,27100
49288,25880
49269,27100
49238,10300
50208,35500
50011,11180
50021,19780
50036,14340
50068,99999
50105,11180
50115,19780
50149,19780
50151,99999
50013,11180
50106,32260
50049,99999
50170,35500
50248,11180
50229,19780
50237,19780
50119,37800
50139,19780
50143,36820
50164,99999
50240,19780
50250,99999
50142,32260
50701,47940
50846,99999
50853,99999
50554,99999
50613,47940
50624,47940
50651,47940
50680,47940
51023,99999
51041,99999
50585,44740
50632,32260
50662,99999
50854,99999
50667,47940
50672,99999
50703,47940
50603,99999
50675,99999
51016,43580
50830,99999
50858,99999
51044,43580
50635,99999
50668,47940
50629,99999
50658,99999
50544,22700
50629,47940
50570,99999
50841,99999
50665,99999
50539,99999
50540,99999
50842,99999
53104,16980
53037,33340
53042,31820
53074,33340
53114,27500
53086,33340
53103,33340
53032,13180
53105,48580
53115,48580
53042,11540
53023,43100
49887,31940
49892,27020
49930,26340
49735,99999
49769,99999
49911,99999
49727,99999
49779,99999
49873,31940
49945,26340
49925,99999
49799,99999
49953,99999
49958,99999
49958,26340
49870,27020
61204,19340
52761,34700
52660,15460
52749,34700
52807,19340
52726,19340
52738,99999
52761,99999
61256,19340
61284,19340
53010,22540
52745,19340
52404,26980
52317,26980
52544,99999
52646,15460
52362,16300
52656,22800
52658,22800
52340,26980
52320,16300
52401,16300
52533,21840
52351,16300
52253,16300
52555,99999
52306,16300
52043,99999
52136,99999
52171,99999
52208,16300
51354,99999
52068,20220
51347,44020
52037,17540
52203,99999
51108,43580
51201,99999
52041,99999
52069,99999
52165,99999
52042,99999
51446,99999
52070,99999
52132,99999
51443,16140
51230,99999
51239,99999
50421,99999
50315,19780
50313,19780
50314,19780
50439,99999
50447,99999
50475,32380
50276,19780
50453,99999
50268,99999
53402,39540
53404,39540
53511,27500
53521,31540
53215,33340
53220,33340
53224,33340
53217,33340
54112,31940
54115,24580
54106,11540
54208,24580
54112,24580
54113,11540
54139,24580
53963,13180
53933,13180
54228,31820
54125,31940
53934,99999
53954,31540
54201,99999
54128,43020
54213,24580
60047,16980
60077,16980
60093,16980
53203,33340
53205,33340
53207,33340
53150,33340
53151,33340
53211,33340
53139,16980
53150,39540
53167,39540
60018,16980
60045,16980
54983,99999
54963,36780
54961,11540
54903,36780
54520,99999
54561,99999
54902,36780
54932,22540
54909,99999
54942,11540
54566,99999
54947,36780
54311,24580
54401,48140
54457,49220
54232,31820
54414,48140
54427,48140
54407,44620
54436,99999
54475,49220
54476,48140
54465,99999
54420,99999
53716,31540
53548,27500
53563,27500
53556,99999
53560,31540
53713,31540
53818,38420
53582,31540
53808,38420
54664,99999
54701,20740
54601,29100
54026,33460
54632,99999
54637,99999
54702,20740
54638,99999
54651,99999
54622,99999
54730,20740
54028,33460
54623,99999
54720,20740
54723,33460
55101,33460
55056,33460
55105,33460
55108,33460
55079,33460
55110,33460
55109,33460
55089,39860
55746,24330
55330,33460
55746,20260
55449,33460
55732,20260
55803,20260
55703,20260
55616,99999
55920,40340
55910,49100
55763,20260
55711,20260
55797,20260
55612,99999
61008,40420
61019,23300
61064,40300
61006,19940
61132,40420
61012,40420
55432,33460
55416,33460
55442,33460
55419,33460
55441,33460
55343,33460
55345,33460
55347,33460
55389,99999
55384,33460
55385,99999
55401,33460
55373,33460
55305,33460
55309,33460
55315,33460
55120,33460
55124,33460
55129,33460
55322,33460
54848,99999
54868,99999
54874,20260
54895,99999
55013,33460
54845,99999
54757,20740
54806,99999
55001,33460
55009,33460
54737,32860
54746,99999
54853,99999
54768,99999
54864,20260
55018,39860
54821,99999
54756,99999
54773,99999
54741,99999
54770,99999
56283,99999
56310,41060
56318,99999
56336,41060
56244,99999
56331,41060
56230,99999
56271,99999
56241,99999
56336,99999
56362,41060
56156,99999
56168,49380
56232,99999
56225,99999
56339,99999
56222,99999
56243,99999
56373,41060
57032,43620
57053,43620
57105,43620
57106,43620
57006,15100
56556,24220
56573,22260
57036,43620
57049,43580
57063,99999
57003,43620
57110,43620
56710,99999
57073,46820
56726,99999
59714,14580
59720,99999
59457,99999
59820,99999
59721,99999
59725,99999
59847,33540
59421,25740
59635,25740
59739,99999
59633,25740
59472,24500
59526,99999
59828,99999
59846,33540
56034,31860
56057,33460
56058,33460
55967,12380
55987,49100
55945,40340
55968,40340
55944,40340
56072,99999
55927,40340
56090,31860
55971,40340
56058,31860
56114,99999
55979,49100
56033,99999
58783,99999
58802,48780
